
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
Kaimatic Sweets,,,,,,,,,,,
"Kendall Communications, LLC",,,,,,,,"AboutA telecom services company, providing site development services for wireless companies and outside cable plant services for cable and fiber providers.",,,
Kent Area Chamber of Commerce,,,,,,,,,,,
Kim Karbon Photography,,,,,,,,"AboutLifestyle photographer based in Cleveland, Ohio. Capturing your authentic moments & you doing you.",,,
Kindred Harbor Behavioral Health,,,,,,,,"AboutKindred Harbor Behavioral Health (KHBH) is a community mental wellness agency providing therapy, SUD programs and case management services. We are a family, veteran, LGBTQ+ and minority founded org.",,,
Keller Williams Living,,,,,,,,Aboutreal estate team,,,
Keller Williams Living,,,,,,,,Aboutreal estate team,,,
LOVEboldly,,,,,,,,"AboutLOVEboldly exists to create and develop spaces where LGBTQIA+ people can flourish in Christianity. We envision a world where LGBTQIA+ people can belong, feel safe, and flourish in the church and beyond.We do this by partnering with Queer Christians to train churches and their professional ministry leaders. We also produce educational opportunities for broad audiences and collaborate with other organizations to deliver informative material. While not our primary focus, we are proud to organi",,,
Lavender & Lace Event Rentals,,,,,,,,"AboutBeautiful and unique items to make your special day standout. Situated inside the Twist Drill Factory in the heart of Cleveland, Lavender and Lace Event Rentals showroom is open by appointment.",,,
Liminal Esports LLC dba Snowbright Studio,,,,,,,,AboutSnowbright Studio is an LGBTQ+ game studio dedicated to creating heartwarming games that spark imagination and inspire action in people of all ages.,,,
Liminal Esports LLC dba Snowbright Studio,,,,,,,,AboutSnowbright Studio is an LGBTQ+ game studio dedicated to creating heartwarming games that spark imagination and inspire action in people of all ages.,,,
Lady Luck Studio LLC,,,,,,,,"AboutLady Luck Studio is a woman- and queer-owned creative collective specializing in photography, videography, and CGI, delivering fresh, budget-conscious solutions with authenticity and ingenuity.",,,
Left of Str8 Media and Consulting,,,,,,,,"AboutLeft of Str8 Podcasts is a network of podcasts for the LGBTQ Community and our Straight Allies. We focus on Entertainment, Foodies, Books, Music and Advocacy in our programming.",,,
Life Equity LLC,,,,,,,,"AboutLife Equity is a leader in unlocking a wealth of opportunities for policyowners, financial advisors and institutional investors through the secondary market for life insurance. Founded in 2000 and headquartered in Northeast Ohio, we are one of the most experienced life settlement providers and purchasers of structured settlements and annuities. Our industry leadership encompasses secondary and tertiary policy acquisitions, one of the market’s largest policy administration and servicing plat",,,
LDR Worldwide,,,,,,,,"AboutLDR provides consistent, strategic,employee development to support business priorities across multiple time zones, locations, and languages. Our programs focus on skill mastery and behavior change.",,,
Lepley & Co,,,,,,,,"AboutVisit the Northside Marketplace for our plants, amazing food, and something for everyone! Not only can you shop with us, you can also support dozens of local small businesses.Our newest location, Art Lan Florist can meet all your floral needs! PLUS shop the variety of plants and locally crafted items you've come to know from Lepley & Co.",,,
Law Enforcement Management Solutions (LEMS),,,,,,,,"AboutLEMS provides off-duty law enforcement and security personnel for corporate, private, and governmental venues, (special events)LEMS also provides a comprehensive strategy of personal protection services for a variety of clients ranging from corporate executives and their families and residences to government officials, dignitaries, celebrities, and everyday business persons and citizens when they need protection for whatever reason or situation they may find themselves involved. Long term, ",,,
LGBTQ+ Lorain County,,,,,,,,"AboutAs a nonprofit organization, LGBTQ+ Lorain County collaborates with community partners to facilitate access to local and regional services and engage the community at large to support LGBTQ+ individuals and allies in Lorain County.",,,
LGBTQIA Coalition,,,,,,,,,,,
Lakewood Alive,,,,,,,,,,,
Linear Creative LLC,6284 Old Orchard Dr,Columbus,OH,43213,440-799-4325,ray@linearcreative.com,linearcreative.com,"AboutEXPERIENCED ADVERTISING AND MARKETING AGENCY.20+ Years’ Experience  |  Trusted Marketing Experts |  Proven Creative SolutionsFor over 20 years, Linear Creative has partnered with small and large organizations to help them grow and thrive through tailored marketing strategies.With so many marketing firms in Ohio, how can you tell which one will be the perfect fit? It all comes down to creativity, customization, and communication.Our dedicated specialists will meet with you to identify your g",,2025-11-29,Email
Linear Creative LLC,6284 Old Orchard Dr,Columbus,OH,43213,440-799-4325,ray@linearcreative.com,linearcreative.com,"AboutEXPERIENCED ADVERTISING AND MARKETING AGENCY.20+ Years’ Experience  |  Trusted Marketing Experts |  Proven Creative SolutionsFor over 20 years, Linear Creative has partnered with small and large organizations to help them grow and thrive through tailored marketing strategies.With so many marketing firms in Ohio, how can you tell which one will be the perfect fit? It all comes down to creativity, customization, and communication.Our dedicated specialists will meet with you to identify your g",,2025-11-29,Email
Lorain County Chamber of Commerce,,,,,,,,AboutThe Lorain County Chamber of Commerce is a regional Chamber located in Lorain County. Founded in 1988 as a result of the coming together of the Greater Lorain Chamber and the Commerce & Industry Assoc,,,
Licursi Bartending & Event Management Services,,,,,,,,"AboutAn LGBT owned and operated event bartending and waitstaff company that provide services to venues, companies or private parties.",,,
LDR Worldwide,,,,,,,,"AboutLDR provides consistent, strategic,employee development to support business priorities across multiple time zones, locations, and languages. Our programs focus on skill mastery and behavior change.",,,
Legal Aid Society of Cleveland,,,,,,careers@lasclev.org,,"AboutLegal Aid's mission is to secure justice, equity, and access to opportunity for and with people who have low incomes through passionate legal representation and advocacy for systemic change.  We carry out our mission every day by providing legal services at no cost to clients with low incomes, helping ensure fairness for all in the justice system—regardless of how much money a person has.Founded in 1905, The Legal Aid Society of Cleveland is the fifth oldest legal aid organization in the Un",,,
Leigh Bacho Photography LLC,,,,,,,,"AboutLauren Bacho Photography LLC provides photographic services to professional sports teams, news organizations, non-profits, universities, corporations, and individuals.",,,
LGBTQ+ Allies Lake County,,,,,,,,"AboutLGBTQ+ Allies Lake County is a 501(c)3 nonprofit in Lake County. We provide a safe place for the LGBTQ community through advocacy, compassion, education, and services.",,,
Left of Str8 Media and Consulting,,,,,,,,"AboutLeft of Str8 Podcasts is a network of podcasts for the LGBTQ Community and our Straight Allies. We focus on Entertainment, Foodies, Books, Music and Advocacy in our programming.",,,
LGBTQ+ Lorain County,,,,,,,,"AboutAs a nonprofit organization, LGBTQ+ Lorain County collaborates with community partners to facilitate access to local and regional services and engage the community at large to support LGBTQ+ individuals and allies in Lorain County.",,,
Licursi Bartending & Event Management Services,,,,,,,,"AboutAn LGBT owned and operated event bartending and waitstaff company that provide services to venues, companies or private parties.",,,
Lepley & Co,,,,,,,,"AboutVisit the Northside Marketplace for our plants, amazing food, and something for everyone! Not only can you shop with us, you can also support dozens of local small businesses.Our newest location, Art Lan Florist can meet all your floral needs! PLUS shop the variety of plants and locally crafted items you've come to know from Lepley & Co.",,,
Lasting Impressions Event Rental,,,,,,,,"AboutAt Lasting Impression Event Group, we have high standards that are reflected in the quality of our rental equipment. With constant inventory updates and new product purchases, we stay current with industry standards and trends with all of our products within our tent, event, and linen rental experience. It is our priority to offer the most diverse selection of table settings and tabletop decor, in quantities to serve our customers needs.",,,
Lago Custom Events,950 Main Avenue Suite 120,Cleveland,OH,44113,216-664-1135,aubrey@salernogroup.com,lagocustomevents.com,"AboutYour event should make a statement. We’re experts in doing just that. Located in the heart of downtown Cleveland, our team specializes in creating custom events for all of our clients. We are dedicated to making your vision come to life. And with a stunning backdrop of the lake and city, we promise your guests will be left swooning.Our team will help you plan every detail, and we’ll be there to execute each component. We’re also ready to provide stellar recommendations for any of your other",,2025-11-29,Email
Leasurely Crafts,,,,,,,,"AboutBlack woman owned business specialized in creating custom designed products for consumers and businesses.Ordering is available on our webpage, Facebook, Instagram and via email.",,,
Leasurely Crafts,,,,,,,,"AboutBlack woman owned business specialized in creating custom designed products for consumers and businesses.Ordering is available on our webpage, Facebook, Instagram and via email.",,,
Lasting Impressions Event Rental,,,,,,,,"AboutAt Lasting Impression Event Group, we have high standards that are reflected in the quality of our rental equipment. With constant inventory updates and new product purchases, we stay current with industry standards and trends with all of our products within our tent, event, and linen rental experience. It is our priority to offer the most diverse selection of table settings and tabletop decor, in quantities to serve our customers needs.",,,
Lago Custom Events,950 Main Avenue Suite 120,Cleveland,OH,44113,216-664-1135,aubrey@salernogroup.com,lagocustomevents.com,"AboutYour event should make a statement. We’re experts in doing just that. Located in the heart of downtown Cleveland, our team specializes in creating custom events for all of our clients. We are dedicated to making your vision come to life. And with a stunning backdrop of the lake and city, we promise your guests will be left swooning.Our team will help you plan every detail, and we’ll be there to execute each component. We’re also ready to provide stellar recommendations for any of your other",,2025-11-29,Email
Lavender & Lace Event Rentals,,,,,,,,"AboutBeautiful and unique items to make your special day standout. Situated inside the Twist Drill Factory in the heart of Cleveland, Lavender and Lace Event Rentals showroom is open by appointment.",,,
Legal Aid Society of Cleveland,,,,,,careers@lasclev.org,,"AboutLegal Aid's mission is to secure justice, equity, and access to opportunity for and with people who have low incomes through passionate legal representation and advocacy for systemic change.  We carry out our mission every day by providing legal services at no cost to clients with low incomes, helping ensure fairness for all in the justice system—regardless of how much money a person has.Founded in 1905, The Legal Aid Society of Cleveland is the fifth oldest legal aid organization in the Un",,,
Lady Luck Studio LLC,,,,,,,,"AboutLady Luck Studio is a woman- and queer-owned creative collective specializing in photography, videography, and CGI, delivering fresh, budget-conscious solutions with authenticity and ingenuity.",,,
Law Enforcement Management Solutions (LEMS),,,,,,,,"AboutLEMS provides off-duty law enforcement and security personnel for corporate, private, and governmental venues, (special events)LEMS also provides a comprehensive strategy of personal protection services for a variety of clients ranging from corporate executives and their families and residences to government officials, dignitaries, celebrities, and everyday business persons and citizens when they need protection for whatever reason or situation they may find themselves involved. Long term, ",,,
Life Equity LLC,,,,,,,,"AboutLife Equity is a leader in unlocking a wealth of opportunities for policyowners, financial advisors and institutional investors through the secondary market for life insurance. Founded in 2000 and headquartered in Northeast Ohio, we are one of the most experienced life settlement providers and purchasers of structured settlements and annuities. Our industry leadership encompasses secondary and tertiary policy acquisitions, one of the market’s largest policy administration and servicing plat",,,
Little Rose Tavern,,,,,,,,AboutCozy little Neighborhood bar in West Park“Nothing fancy but not shabby “,,,
LOVEboldly,,,,,,,,"AboutLOVEboldly exists to create and develop spaces where LGBTQIA+ people can flourish in Christianity. We envision a world where LGBTQIA+ people can belong, feel safe, and flourish in the church and beyond.We do this by partnering with Queer Christians to train churches and their professional ministry leaders. We also produce educational opportunities for broad audiences and collaborate with other organizations to deliver informative material. While not our primary focus, we are proud to organi",,,
Lorain County Chamber of Commerce,,,,,,,,AboutThe Lorain County Chamber of Commerce is a regional Chamber located in Lorain County. Founded in 1988 as a result of the coming together of the Greater Lorain Chamber and the Commerce & Industry Assoc,,,
LGBTQIA Coalition,,,,,,,,,,,
LGBTQ+ Allies Lake County,,,,,,,,"AboutLGBTQ+ Allies Lake County is a 501(c)3 nonprofit in Lake County. We provide a safe place for the LGBTQ community through advocacy, compassion, education, and services.",,,
Little Rose Tavern,,,,,,,,AboutCozy little Neighborhood bar in West Park“Nothing fancy but not shabby “,,,
"Morgan Financial Associates, LLC",217 North Water Street Suite C1,Kent,OH,44240,330-760-3359,tmorgan@morganfinancialassoc.com,morganfinancialassoc.com,"AboutToday, investors have a dizzying array of information available at their fingertips – everything from college savings to early retirement. But a rigorous deep dive may not provide you with solutions informed by your particular needs.The advisors at Morgan Financial Associates are your partners in customizing solutions to your financial goals. Whether you are just starting out, looking to supplement an existing plan, or researching strategies for retirement, our experienced associates are ha",,2025-11-29,Email
Morgan Stanley,,,,,,,,"AboutSteve is a Vice President, Portfolio Management Director and co-founder of The 200 Public Square Group at Morgan Stanley, a highly skilled advisory team located in Cleveland, Ohio. With more than 30 y",,,
Medical Mutual,,,,,,lydia.shinn@medmutual.com,,"AboutFounded in 1934, Medical Mutual is the oldest and one of the largest health insurance companies based in Ohio. We provide peace of mind to more than 1.2 million Ohioans through our high-quality health, life, disability, dental, vision and indemnity plans. Our mission is to unite with our partners to help people live healthier through all stages of life.",,,
Manic Pixie Dream Market,,,,,,,,,,,
Marigold Catering,,,,,,,,,,,
Mavuno of Ohio,,,,,,,,"AboutHarvest of OH is a medical cannabis company with licenses to dispense, grow and process medical marijuana. Three medical marijuana dispensaries located in Athens, Beavercreek and Columbus.",,,
Main Street Kent,,,,,,,,"Aboutwho we areMain Street Kent is a non-profit organization that focuses on the promotion, beautification, and revitalization of downtown Kent. The City of Kent, Kent State University, local businesses, and community members support Main Street Kent.Main Street Kent has 2 staff, a  board of directors and many volunteers working to improve downtown Kent. Since Main Street Kent?s formation in 2006, dozens of new businesses have opened in downtown Kent, and a hundreds of new full-time and part-tim",,,
"Masuda Law, LLC",,,,,,,,"AboutLaw firm serving privately held companies, nonprofits, and individuals, with a focus on business and real estate transactions, contracts, and employment law",,,
Medical Mutual,,,,,,lydia.shinn@medmutual.com,,"AboutFounded in 1934, Medical Mutual is the oldest and one of the largest health insurance companies based in Ohio. We provide peace of mind to more than 1.2 million Ohioans through our high-quality health, life, disability, dental, vision and indemnity plans. Our mission is to unite with our partners to help people live healthier through all stages of life.",,,
Mullen Insurance Solutions LLC,,,,,,,,AboutInsurance Broker for Employer Sponsored Group Health / Employee Benefits plans.,,,
Marigold Catering,,,,,,,,,,,
Matt Rolf Attorney LLC,,,,,,,,"AboutMatt Rolf Attorney LLC is a real estate law practice with a new focus on environmentally sustainable, transit-oriented properties. We seek to represent individuals and companies who are buying, sellin",,,
My Noble Path,,,,,,,,"AboutYour physical and emotional wellbeing is our top priority. Our healing touch, whether in person or remotely, will bring peace, healing and happiness to your life. Our goal is to provide alternative energy care that will provide healing and restoring to the recipient by using the fundamental healing principles of the body.",,,
Marquez Development,,,,,,,,"AboutMarquez Renovation & Contracting has recently transitioned to Marquez Development.Marquez Development owns and manages several buildings on the Near West Side of Cleveland. Both in the capacity as a housing provider as well as with our new and exciting adventure, The Randolph Studios.Located in Gordon Square, The Randolph Building's main level is home to 6 studio spaces, an apothecary and common area. Historically, throughout the 1900's the space served as a neighborhood doctor's office. Ou",,,
Manic Pixie Dream Market,,,,,,,,,,,
"MDTX Logistics, LLC",,,,,,,,"AboutAt MDTX Logistics, our goal is to make your logistics problems simply solved. We deliver flowers, small packages, food, groceries, and documents so you can continue your everyday life.",,,
Matt Rolf Attorney LLC,,,,,,,,"AboutMatt Rolf Attorney LLC is a real estate law practice with a new focus on environmentally sustainable, transit-oriented properties. We seek to represent individuals and companies who are buying, sellin",,,
Modern Real Estate Services LLC dba Modern Title,,,,,,,,AboutWe are a Real Estate Title Insurance and Escrow Company providing settlement services to Northern Ohio through innovative and modern methods.,,,
MB Detailing,,,,,,,,"AboutProfessional Detailing company specializing in ceramic coating, window tint, and paint protection film.",,,
Multi Cultural Queer+ Association,,,,,,,,,,,
"Maria’s Permanent Hair Removal, LLC",,,,,,,,AboutMy business provides permanent hair removal services using electrolysis.  Electrolysis is the only method of permanent hair removal approved by the FDA.,,,
Medical Mobile of Ohio,,,,,,,,"AboutDrivers spend enough time on the road, so the last thing they want to do is drive somewhere else to get thier physicals/exams done. We come to you, screen all of your drivers in less time and save you MORE MONEY!",,,
Mary Kate Meals,,,,,,,,,,,
Museum of Contemporary Art Cleveland,,,,,,apply@mocacleveland.org,,"AboutNortheast Ohio's only contemporary art museum, moCa's mission is to engage audiences of all backgrounds, experiences, and interests with art, artists, and new ideas.",,,
Mullen Insurance Solutions LLC,,,,,,,,AboutInsurance Broker for Employer Sponsored Group Health / Employee Benefits plans.,,,
Multi Cultural Queer+ Association,,,,,,,,,,,
Main Street Kent,,,,,,,,"Aboutwho we areMain Street Kent is a non-profit organization that focuses on the promotion, beautification, and revitalization of downtown Kent. The City of Kent, Kent State University, local businesses, and community members support Main Street Kent.Main Street Kent has 2 staff, a  board of directors and many volunteers working to improve downtown Kent. Since Main Street Kent?s formation in 2006, dozens of new businesses have opened in downtown Kent, and a hundreds of new full-time and part-tim",,,
MOD Network LLC,,,,,,,,"AboutMOD Network makes change easier.Blending organizational development tools, project management techniques, and operational strategies, we can drive change for you and your organization.",,,
"Morgan Financial Associates, LLC",217 North Water Street Suite C1,Kent,OH,44240,330-760-3359,tmorgan@morganfinancialassoc.com,morganfinancialassoc.com,"AboutToday, investors have a dizzying array of information available at their fingertips – everything from college savings to early retirement. But a rigorous deep dive may not provide you with solutions informed by your particular needs.The advisors at Morgan Financial Associates are your partners in customizing solutions to your financial goals. Whether you are just starting out, looking to supplement an existing plan, or researching strategies for retirement, our experienced associates are ha",,2025-11-29,Email
Maris Equi,,,,,,,,"AboutMaris Equi is an emerging men's swimwear, beachwear, and underwear company. Our goal is to bring a fresh new look and style to the men's fashion industry. Maris Equi was established in 2018 by Matthew Chess and Rian Ismadia. Their passion for unique and fashionable men's swimwear and underwear drove them to open their own business together. Their creative vision has led their designs & to be featured in Fashion Week Columbus 2019 and Miami Swim Week 2020. Currently Maris Equi is selling the",,,
Margie's Hope,,,,,,,,"AboutMargie's Hope is the manifestation of Jacob Nash's dream to help transgender people who are in need of assistance. We are an organization dedicated to assisting transgender and nonbinary people in need. We have a number of groups for those who need help, as well as for their families and friends, as well as a group for trans youth.",,,
media schmedia LLC,,,,,,,,"AboutBrand-forward marketing, design, and website development connecting you deeply and authentically with customers. Affordable WordPress websites a specialty!",,,
MJB Immigration,,,,,,,,"AboutMartin Jolic and Associates, LLC (MJB Immigration) is an immigration law practice with offices in Cleveland and San Diego. We offer U.S. immigration representation to clients located anywhere.  There is no substitute for quality. Over the years, the immigration attorneys at Martin Jolic and Associates, LLC (MJB Immigration) have exceeded the expectations of their clients with attention to detail combined with in-depth knowledge of the nuances of immigration law. Service is our top priority.",,,
"MDTX Logistics, LLC",,,,,,,,"AboutAt MDTX Logistics, our goal is to make your logistics problems simply solved. We deliver flowers, small packages, food, groceries, and documents so you can continue your everyday life.",,,
Marissa Patsey LPCC,,,,,,,,"AboutINDIVIDUAL THERAPYI enjoy working with clients to co-create a supportive environment in which you can grow in awareness of yourself; both those aspects you may know and appreciate as well as those we struggle to own and integrate into our sense of self.CONSULTATION AND TRAININGI consult with individual practitioners and create trainings for mental health providers and organizations to increase competency, knowledge, and skill in working with LGBTQIAA+ clients and communities.I also teach a ",,,
Marquez Development,,,,,,,,"AboutMarquez Renovation & Contracting has recently transitioned to Marquez Development.Marquez Development owns and manages several buildings on the Near West Side of Cleveland. Both in the capacity as a housing provider as well as with our new and exciting adventure, The Randolph Studios.Located in Gordon Square, The Randolph Building's main level is home to 6 studio spaces, an apothecary and common area. Historically, throughout the 1900's the space served as a neighborhood doctor's office. Ou",,,
MJB Immigration,,,,,,,,"AboutMartin Jolic and Associates, LLC (MJB Immigration) is an immigration law practice with offices in Cleveland and San Diego. We offer U.S. immigration representation to clients located anywhere.  There is no substitute for quality. Over the years, the immigration attorneys at Martin Jolic and Associates, LLC (MJB Immigration) have exceeded the expectations of their clients with attention to detail combined with in-depth knowledge of the nuances of immigration law. Service is our top priority.",,,
Modern Real Estate Services LLC dba Modern Title,,,,,,,,AboutWe are a Real Estate Title Insurance and Escrow Company providing settlement services to Northern Ohio through innovative and modern methods.,,,
Museum of Contemporary Art Cleveland,,,,,,apply@mocacleveland.org,,"AboutNortheast Ohio's only contemporary art museum, moCa's mission is to engage audiences of all backgrounds, experiences, and interests with art, artists, and new ideas.",,,
MOD Network LLC,,,,,,,,"AboutMOD Network makes change easier.Blending organizational development tools, project management techniques, and operational strategies, we can drive change for you and your organization.",,,
Medical Mobile of Ohio,,,,,,,,"AboutDrivers spend enough time on the road, so the last thing they want to do is drive somewhere else to get thier physicals/exams done. We come to you, screen all of your drivers in less time and save you MORE MONEY!",,,
MB Detailing,,,,,,,,"AboutProfessional Detailing company specializing in ceramic coating, window tint, and paint protection film.",,,
Marissa Patsey LPCC,,,,,,,,"AboutINDIVIDUAL THERAPYI enjoy working with clients to co-create a supportive environment in which you can grow in awareness of yourself; both those aspects you may know and appreciate as well as those we struggle to own and integrate into our sense of self.CONSULTATION AND TRAININGI consult with individual practitioners and create trainings for mental health providers and organizations to increase competency, knowledge, and skill in working with LGBTQIAA+ clients and communities.I also teach a ",,,
Mavuno of Ohio,,,,,,,,"AboutHarvest of OH is a medical cannabis company with licenses to dispense, grow and process medical marijuana. Three medical marijuana dispensaries located in Athens, Beavercreek and Columbus.",,,
"Maria’s Permanent Hair Removal, LLC",,,,,,,,AboutMy business provides permanent hair removal services using electrolysis.  Electrolysis is the only method of permanent hair removal approved by the FDA.,,,
National Gay & Lesbian Chamber of Commerce (NGLCC),,,,,,,,,,,
Northside Marketplace,,,,,,,,"AboutNORTHSIDE MARKETPLACE IS AN URBAN MARKET WITH A FOCUS ON SOCIAL INTERACTION, LOCAL BUSINESSES, AND GRASSROOTS ARTISANS|COMMUNITY| Northside Marketplace is a vibrant downtown destination that connects consumers with local based businesses, creating a unique social hangout and shopping experience that makes it easy to shop locally and directly.|VENDORS| Incubator space for entrepreneurs bridging the gap between a home-based business and a physical store, providing a vendor community, collecti",,,
"Nomz, LLC",,,,,,,,"AboutYour favorite brunch and sandwich spot in the Northside District of Downtown Akron, located inside the Northside Marketplace with a full bar and coffee shop, you won't be disappointed!",,,
Navigate Counseling and Consultation Services,960 Graham Rd Unit 3,Cuyahoga Falls,OH,44221,330-606-9262,operations@navigatecounseling.org,navigatecounseling.org,"AboutNavigate Counseling and Consultation Services provides mental health services to individuals, couples, and families in the greater Akron, OH area and beyond. We also provide continuing education for counselors and other helping professionals.",,2025-11-29,Email
Next Level Therapy,,,,,,,,"AboutSpecializing in pelvic health for all genders, pelvic pain, gastrointestinal discomfort/pain, scar healing, incontinence training, prolapse, sexual dysfunction & inner core and pelvic floor wellness.",,,
Near West Theatre,,,,,,,,"AboutNear West Theatre has a unique identity as a grassroots, intergenerational theatre with an emphasis on serving the needs of individuals and our community.MissionNear West Theatre creates life-changing theatre arts experiences that empower our community.VisionTo build a socially just world through the transformative power of community theatre.ValuesAccessibility, Artistic Excellence, Authenticity, Equity & Inclusion, Integrity, Love, Social Justice",,,
Nestle,,,,,,,,"AboutOur purposeUnlocking the power of food to enhance quality of life for everyone, today and for generations to come. That is our purpose.We are the Good food, Good life company. We believe in the power of food to enhance lives. Good food nourishes and delights the senses. It helps children grow healthy, pets thrive, parents age gracefully and everyone live life to the fullest. Good food brings us together. Good food also respects our planet and protects resources for future generations.At Nes",,,
Northeast Ohio Coalition for the Homeless,,,,,,,,"AboutNEOCH exists to eliminate the root causes of homelessness while loving our diverse community through organizing, advocacy, education, and street outreach.",,,
Northwest Neighborhoods,,,,,,,,"AboutNorthwest Neighborhoods CDC is the unified nonprofit serving Cleveland’s Cudell, Detroit Shoreway and Edgewater communities for improved quality of life.",,,
Ninja City Gordon Square LLC,,,,,,,,"AboutWe are an urban kitchen and bar with a fun, laid-back, family-friendly atmosphere. Our menu consists of traditional Asian dishes with a modern spin as well as Asian-American fusion.",,,
Ninja City Gordon Square LLC,,,,,,,,"AboutWe are an urban kitchen and bar with a fun, laid-back, family-friendly atmosphere. Our menu consists of traditional Asian dishes with a modern spin as well as Asian-American fusion.",,,
Northeast Ohio Coalition for the Homeless,,,,,,,,"AboutNEOCH exists to eliminate the root causes of homelessness while loving our diverse community through organizing, advocacy, education, and street outreach.",,,
Nestle,,,,,,,,"AboutOur purposeUnlocking the power of food to enhance quality of life for everyone, today and for generations to come. That is our purpose.We are the Good food, Good life company. We believe in the power of food to enhance lives. Good food nourishes and delights the senses. It helps children grow healthy, pets thrive, parents age gracefully and everyone live life to the fullest. Good food brings us together. Good food also respects our planet and protects resources for future generations.At Nes",,,
"Nadas Law, LLC",,,,,,,,"AboutBoutique law firm focused on Estate Planning, Probate Administration, and Probate Litigation.",,,
North Coast Men's Chorus,,,,,,,,"AboutEstablished in 1988 as a local group performing in area churches, the North Coast Men’s Chorus has grown into the largest LGBT arts organization in Northeast Ohio with over 100 members. Each year the Chorus performs before 30,000+ people at venues that have included the Hanna, the State and Connor Palace Theatres at Playhouse Square, Cleveland State University, Notre Dame College and Severance Hall.  Under the artistic direction of Richard Cole, the Chorus successfully embraces staging, sho",,,
North Coast Men's Chorus,,,,,,,,"AboutEstablished in 1988 as a local group performing in area churches, the North Coast Men’s Chorus has grown into the largest LGBT arts organization in Northeast Ohio with over 100 members. Each year the Chorus performs before 30,000+ people at venues that have included the Hanna, the State and Connor Palace Theatres at Playhouse Square, Cleveland State University, Notre Dame College and Severance Hall.  Under the artistic direction of Richard Cole, the Chorus successfully embraces staging, sho",,,
Northwest Bank,,,,,,,,,,,
Northeast Ohio Regional Sewer District,,,,,,,,,,,
Nueva Luz Urban Resource Center,,,,,,,,,,,
Near West Theatre,,,,,,,,"AboutNear West Theatre has a unique identity as a grassroots, intergenerational theatre with an emphasis on serving the needs of individuals and our community.MissionNear West Theatre creates life-changing theatre arts experiences that empower our community.VisionTo build a socially just world through the transformative power of community theatre.ValuesAccessibility, Artistic Excellence, Authenticity, Equity & Inclusion, Integrity, Love, Social Justice",,,
Northside Marketplace,,,,,,,,"AboutNORTHSIDE MARKETPLACE IS AN URBAN MARKET WITH A FOCUS ON SOCIAL INTERACTION, LOCAL BUSINESSES, AND GRASSROOTS ARTISANS|COMMUNITY| Northside Marketplace is a vibrant downtown destination that connects consumers with local based businesses, creating a unique social hangout and shopping experience that makes it easy to shop locally and directly.|VENDORS| Incubator space for entrepreneurs bridging the gap between a home-based business and a physical store, providing a vendor community, collecti",,,
Nightsweats & T-cells,,,,,,,,"AboutNightsweats & T-Cells provides custom screenprinting and design work for AIDS service organizations, special events and mainstream businesses.We offer a quality product at competitive prices and still believe that what we are doing is as radical today as it was 20 years ago when we first started employing people who had been turned away from traditional employment optionsThe employees of Nightsweats & T-cells choose not to go home and dutifully wait to die. We believe that while we remain c",,,
NOAS,,,,,,,,"AboutNOAS is a private, not-for-profit 501(c)(3) agency founded in 1978 to serve children and families, with programs built on our mission to promote lifelong permanency for current and former foster youth by recruiting, preparing, and supporting ALL families and positive connections. NOAS has placed over 1,300 children into loving, adoptive homes throughout NE Ohio.While NOAS is perhaps best known for our work related to foster care and adoption, we have grown into much more than a placement ag",,,
Neighborhood Family Practice,,,,,,jcastellano@nfpmedcenter.org,,"AboutNeighborhood Family Practice is a non-profit, federally qualified community health center that provides high quality primary care regardless of ability to pay.",,,
Navigate Counseling and Consultation Services,960 Graham Rd Unit 3,Cuyahoga Falls,OH,44221,330-606-9262,operations@navigatecounseling.org,navigatecounseling.org,"AboutNavigate Counseling and Consultation Services provides mental health services to individuals, couples, and families in the greater Akron, OH area and beyond. We also provide continuing education for counselors and other helping professionals.",,2025-11-29,Email
"Nomz, LLC",,,,,,,,"AboutYour favorite brunch and sandwich spot in the Northside District of Downtown Akron, located inside the Northside Marketplace with a full bar and coffee shop, you won't be disappointed!",,,
Northwest Bank,,,,,,,,,,,
Nueva Luz Urban Resource Center,,,,,,,,,,,
Northwest Neighborhoods,,,,,,,,"AboutNorthwest Neighborhoods CDC is the unified nonprofit serving Cleveland’s Cudell, Detroit Shoreway and Edgewater communities for improved quality of life.",,,
NAACP Cleveland,,,,,,,,,,,
"Nadas Law, LLC",,,,,,,,"AboutBoutique law firm focused on Estate Planning, Probate Administration, and Probate Litigation.",,,
Next Level Therapy,,,,,,,,"AboutSpecializing in pelvic health for all genders, pelvic pain, gastrointestinal discomfort/pain, scar healing, incontinence training, prolapse, sexual dysfunction & inner core and pelvic floor wellness.",,,
NOAS,,,,,,,,"AboutNOAS is a private, not-for-profit 501(c)(3) agency founded in 1978 to serve children and families, with programs built on our mission to promote lifelong permanency for current and former foster youth by recruiting, preparing, and supporting ALL families and positive connections. NOAS has placed over 1,300 children into loving, adoptive homes throughout NE Ohio.While NOAS is perhaps best known for our work related to foster care and adoption, we have grown into much more than a placement ag",,,
Northeast Ohio Regional Sewer District,,,,,,,,,,,
Neighborhood Family Practice,,,,,,jcastellano@nfpmedcenter.org,,"AboutNeighborhood Family Practice is a non-profit, federally qualified community health center that provides high quality primary care regardless of ability to pay.",,,
